"Total Plays","Last Plays in Sequence","Entry Creation Date","Entry Modification Date","Container Type","Container Description","Track Description","Ignore for recommendations",Country,"Container Reference","Track Reference"
15,1,2026-03-06T10:10:17.221Z,2026-03-06T10:10:17.290Z,Album,"Haken - Virus (Deluxe Edition)",N/A,false,"United Kingdom",1503491133,N/A
2,1,2026-03-06T09:56:05.202Z,2026-03-06T09:56:05.287Z,Album,"Periphery - Icarus Lives - EP",N/A,false,"United Kingdom",427817334,N/A
1,1,2026-03-06T09:46:59.884Z,2026-03-06T09:47:00.623Z,Album,"Periphery - Periphery V: Djent Is Not a Genre",N/A,false,"United Kingdom",1656947312,N/A
1,1,2026-03-06T09:43:31.925Z,2026-03-06T09:43:32.190Z,Album,"Periphery - Periphery III: Select Difficulty",N/A,false,"United Kingdom",1741378898,N/A
19,1,2026-03-05T11:59:36.849Z,2026-03-05T11:59:37.119Z,Album,"Arch Enemy - Wages of Sin",N/A,false,"United Kingdom",1056430200,N/A
1,1,2026-03-04T11:54:25.292Z,2026-03-04T11:54:25.416Z,Album,"Revocation - Chaos of Forms (Deluxe Version)",N/A,false,"United Kingdom",436229504,N/A
1,1,2026-03-04T10:39:51.162Z,2026-03-04T10:39:51.588Z,Album,"Profiler - Masquerading Self (EP) - EP",N/A,false,"United Kingdom",1847657297,N/A
2,1,2026-03-04T10:36:15.476Z,2026-03-04T10:36:15.563Z,Album,"Profiler - Waste - Single",N/A,false,"United Kingdom",1816006862,N/A
11,1,2026-02-27T12:15:17.609Z,2026-02-27T12:15:17.744Z,Album,"Bruno Mars - The Romantic",N/A,false,"United Kingdom",1866732792,N/A
39,1,2026-02-26T13:26:34.308Z,2026-02-26T13:26:34.667Z,Album,"Parkway Drive - Horizons (Deluxe Edition)",N/A,false,"United Kingdom",1485048051,N/A
1,1,2026-02-25T19:41:12.555Z,2026-02-25T19:41:12.658Z,Album,"Coda - Bloody Stream - Single",N/A,false,"United Kingdom",1500511323,N/A
5,1,2026-02-25T15:04:51.904Z,2026-02-25T15:04:52.465Z,Album,"Arch Enemy - Doomsday Machine",N/A,false,"United Kingdom",1045076820,N/A
