"Favorite Type","Item Reference","Item Description","Last Modified",Preference
Song,600897223,"Jamiroquai - Space Cowboy",2026-01-26T13:50:17Z,LIKE
Song,1611637863,"Bruno Mars, Anderson .Paak & Silk Sonic - Fly As Me",2026-01-22T12:14:51Z,LIKE
Song,1437328603,"Black Label Society - Bleed for Me",2025-10-23T16:12:02Z,LIKE
Song,1807175037,"BABYMETAL & Bloodywood - Kon! Kon!",2025-07-31T20:00:47.523Z,DISLIKE
Song,1609498373,"Billie Ski Mask - METAVERSE",2024-11-21T23:14:15Z,LIKE
Song,1440828906,"Kendrick Lamar - Wesley's Theory (feat. George Clinton & Thundercat)",2024-06-01T19:01:34Z,LIKE
Album,282703295,"Dream Theater - Six Degrees of Inner Turbulence",2023-11-05T15:58:19.044Z,LIKE
